Bioassay_ID	sentrix_id	dkfz_v12.8_superfamily	dkfz_v12.8_superfamily_maxscore	dkfz_v12.8_family	dkfz_v12.8_family_maxscore	dkfz_v12.8_class	dkfz_v12.8_class_maxscore	dkfz_v12.8_subclass	dkfz_v12.8_subclass_maxscore	NIH_v3.1_superfamily	NIH_v3.1_superfamily_meanscore	NIH_v3.1_class	NIH_v3.1_class_score	NIH_v3.1_subclass	NIH_v3.1_subclass_meanscore
BS_55Y8M74F	206402350009_R04C01	Control Tissues	0.962323083	Control Brain Tissues	0.96208212	Control Tissue, Hemispheric Cortex	0.961634466	CTRL_HEMI	0.961634466	Control tissues	0.681	Control tissue, cerebral hemisphere	0.666	CONTR HEMI	0.666
BS_X2S37Y4C	205128000035_R04C01	Control Tissues	0.999682377	Control Brain Tissues	0.999682352	Control Tissue, Pituitary Gland (Anterior Lobe)	0.999682262	CTRL_ADENOPIT	0.999682262	Control tissues	0.976	Control tissue, pituitary gland	0.847	CONTR ADENOPIT	0.847
BS_2MG088X7	207356840021_R05C01	Adult-Type Diffuse Gliomas	0.99992585	Diffuse High-Grade Neuroepithelial Tumour [Adult-Type]	0.999925846	Diffuse High-Grade Neuroepithelial Tumour [Adult-Type, Non-Defined Type E]	0.999639686	HGG_E	0.999639686	Intermediate-grade IDH-wildtype gliomas	0.986	Diffuse high-grade glioma, IDH-wildtype, subtype E	0.982	HGG E	0.982
BS_FD03JPYW	205707900009_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.972431814	Low-Grade Glioneuronal Tumour	0.910594733	Dysembryoplastic Neuroepithelial Tumour	0.828463354	DNET	0.828463354	Low-grade glial/glioneuronal tumors	0.99	Dysembryoplastic neuroepithelial tumor	0.497	DNT	0.462
BS_F0A84A7J	205707890156_R07C01	Medulloblastoma	0.99992062	Medulloblastoma Non-WNT/Non-SHH Activated	0.999912448	Medulloblastoma Group 4	0.999903969	MB_G34_VIII	0.999765517	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VIII	0.989
BS_D7CCR0HV	209760340023_R06C01	Adult-Type Diffuse Gliomas	0.241248402	Glioblastoma, IDH-Wildtype	0.225663332	Glioblastoma, IDH-Wildtype, Mesenchymal Type	0.209731794	GBM_MES_TYP	0.182368387	Pediatric-type high-grade gliomas	0.318	Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype	0.316	pedHGG MYCN	0.315
BS_PRKJWXS8	206430120112_R02C01	Medulloblastoma	0.999716348	Medulloblastoma, SHH-Activated	0.999648857	Medulloblastoma, SHH-Activated, Subtype 3	0.913464686	MB_SHH_3	0.913464686	Medulloblastoma	0.991	Medulloblastoma, SHH-activated	0.989	MB SHH 3	0.988
BS_YBZ421J5	205676380113_R03C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999973087	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.99984944	Supratentorial Pilocytic Astrocytoma	0.999849348	PA_CORT	0.999849348	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.988	PA ST	0.987
BS_RBV58RF5	205707900053_R02C01	Ependymal Tumours	0.999970144	Posterior Fossa Ependymoma Group A	0.999965449	Posterior Fossa Ependymoma Group A2	0.999961169	EPN_PFA_2A	0.994603681	Ependymal tumors	0.989	Posterior fossa group A (PFA) ependymoma	0.987	EPN PFA 2A	0.985
BS_RS0NPK3P	207356840095_R04C01	Diffuse Glioma, Mapk Altered, Cell-Cycle Activated	0.998993177	Pleomorphic Xanthoastrocytoma(-Like)	0.998992963	Pleomorphic Xanthoastrocytoma(-Like)	0.998992963	PXA	0.998992963	Intermediate-grade IDH-wildtype gliomas	0.984	Pleomorphic xanthoastrocytoma	0.983	PXA	0.983
BS_7MWSK2SH	205589730018_R03C01	Control Tissues	0.600746526	Control Brain Tissues	0.600689624	Control Tissue, Cerebellar Hemisphere	0.600351966	CTRL_CBM	0.600351966	Low-grade glial/glioneuronal tumors	0.763	Pilocytic astrocytoma	0.763	PA PF VAR	0.763
BS_4TXDH2S8	205657380118_R04C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.999063189	Pilocytic Astrocytoma	0.997379358	Supratentorial Midline Pilocytic Astrocytoma	0.760518752	PA_MID	0.760518752	Low-grade glial/glioneuronal tumors	0.989	Pilocytic astrocytoma	0.97	PA PF TYP	0.633
BS_JJ3NEG4A	205657380118_R05C01	Low-Grade Glial/Glioneuronal/Neuroepithelial Tumours	0.383612144	Low-Grade Ganglioglial/Neuroepithelial Tumour	0.278081639	Ganglioglioma	0.213001867	GG	0.213001867	Low-grade glial/glioneuronal tumors	0.823	Ganglioglioma	0.81	GG	0.81
BS_M255G2TR	205624900100_R02C01	Cranial And Paraspinal Nerve Tumours	0.996419154	Schwann-Cell Tumours	0.996287624	Schwannoma	0.994517833	SCHW	0.994517833	Mesenchymal tumors	0.988	Schwannoma	0.987	SCHW	0.987
BS_FZ3J46KM	205707900172_R03C01	Medulloblastoma	0.955638758	Medulloblastoma, SHH-Activated	0.943157621	Medulloblastoma, SHH-Activated, Subtype 1	0.909925093	MB_SHH_1	0.909925093	Medulloblastoma	0.99	Medulloblastoma, SHH-activated	0.987	MB SHH 1	0.986
BS_JGTG242X	206430120127_R06C01	Medulloblastoma	0.999915899	Medulloblastoma Non-WNT/Non-SHH Activated	0.999907211	Medulloblastoma Group 4	0.999900473	MB_G34_VIII	0.999688996	Medulloblastoma	0.991	Medulloblastoma, non-WNT/non-SHH, Group 4	0.989	MB G4 VIII	0.989
